iter	Logloss
0	0.6858086498
1	0.6787348246
2	0.6697658319
3	0.6600979378
4	0.652759626755	0.644337139166	0.637046877
7	0.6286139613
8	0.6204238674
9	0.6139500396
10	0.6063901714
11	0.5976302233
12	0.5890416317
13	0.5824526111
14	0.5777166714
15	0.5715933139
16	0.5652580486
17	0.5588301156
18	0.5530753089
19	0.5489870638
20	0.5423246572
21	0.5363671234
22	0.5308052955
23	0.5257965396
24	0.5209465148
25	0.5148168657
26	0.510170953
27	0.5027596696
28	0.4975666185
29	0.4919278743
30	0.4866299006
31	0.4818556037
32	0.4767549715
33	0.472568481
34	0.4687771121
35	0.4630038412
36	0.4585216306
37	0.4544757323
38	0.451283913
39	0.4466242207
40	0.4437624087
41	0.4408022134
42	0.4369991193
43	0.4332139829
44	0.429495285
45	0.4266297286
46	0.4232247687
47	0.4193522099
48	0.4156742469
49	0.4118379533
50	0.4078755764
51	0.4045619659
52	0.399123433
53	0.3957092836
54	0.3925992696
55	0.3895474197
56	0.3860665424
57	0.3825926949
58	58	0.3968997359	59	0.3930330160	60	0.3902994261	61	0.3869314862	0.368100826
63	0.3650412298
64	0.3624942005
65	0.3593087308
66	0.3564898273
67	0.3526707695
68	0.349568561
69	0.3470410156
70	0.3429362369
71	0.3395052277
72	0.3366232852
73	0.3331906738
74	0.3300815418
75	0.3277328418
76	0.3250619345
77	0.3220073622
78	0.3192829203
79	0.3176252533
80	0.3147082828
81	0.3120731404
82	0.3097603759
83	0.3068968943
84	0.3051094822
85	0.3028820724
86	0.3010779426
87	0.2989452301
88	0.296487503
89	0.2942879728
90	0.2925119697
91	0.290184629
92	0.2887921767
93	0.2871190767
94	0.2848507447
95	0.2823470825
96	0.2799412737
97	0.2775746804
98	0.2758270836
99	0.2736956751
100	0.2718241593
101	0.2693302285
102	0.2680302546
103	0.2658703289
104	0.2645408554
105	0.2620963721
106	0.2600607852
107	0.258333679
108	0.2567586256
109	0.2558779063
110	0.2538089333
111	0.251836745
112	0.2502520986
113	0.2483632919
114	0.2463162672
115	0.2449988542
116	0.2435427342
117	0.2418200861
118	0.240453337
119	0.2391449989
120	0.2374586369
121	0.2358153159
122	0.2345137661
123	0.233042188
124	0.2319995989
125	0.2303868328
126	0.2291882344
127	0.2275322708
128	0.2261408904
129	0.2249423154
130	0.2234489694
131	0.2214735493
132	0.2199063372
133	0.2186854676
134	0.2174121025
135	0.2164260837
136	0.2149869205
137	0.2138864933
138	0.2124711392
139	0.2111150647
140	0.2100347645
141	0.2091711844
142	0.2083452859
143	0.2075681162
144	0.2064730258
145	0.2054484621
146	0.204581906
147	0.2033344477
148	0.2020965119
149	0.2008990485
150	0.1999595978
151	0.1990428634
152	0.1980458869
153	0.1969865279
154	0.1960088593
155	0.1947480821
156	0.1932979586
157	0.1921513206
158	0.191186956
159	0.1901182092
160	0.1888539482
161	0.1878685292
162	0.18708066
163	0.1862638103
164	0.1853830204
165	0.1844082289
166	0.1836620855
167	0.1828901333
168	0.1823283837
169	0.1813924585
170	0.180735283
171	0.1797085631
172	0.1788754654
173	0.1775505446
174	0.1770250823
175	0.1762119979
176	0.1749168415
177	0.1740218833
178	0.1731690891
179	0.1720754592
180	0.1711601597
181	0.1702779285
182	0.1696333681
183	0.1684006716
184	0.1679128018
185	0.1670534783
186	0.1659563587
187	0.1649067813
188	0.1640711895
189	0.1633329077
190	0.1621190085
191	0.161420346
192	0.1608117074
193	0.1598435582
194	0.1593472887
195	0.1586838718
196	0.1576130622
197	0.1570706003
198	0.1567514524
199	0.1560420297
200	0.1555107395
201	0.1547443863
202	0.1540950704
203	0.1534246401
204	0.1524465475
205	0.1521425915
206	0.1517329315
207	0.1510201486
208	0.1505728657
209	0.1500151014
210	0.1495684697
211	0.1488005083
212	0.1479854531
213	0.1474171885
214	0.1471303111
215	0.1465091921
216	0.1461519525
217	0.1455781544
218	0.1448470969
219	0.1441898923
220	0.1435603987
221	0.1430843957
222	0.1425590904
223	0.142216896
224	0.1414962055
225	0.1407524893
226	0.1402697556
227	0.139877608
228	0.1389503235
229	0.1384009454
230	0.1378018771
231	0.1371858976
232	0.1362963192
233	0.1358634855
234	0.1354833009
235	0.1349547656
236	0.1344395716
237	0.1340782372
238	0.1337002807
239	0.1330971189
240	0.1325372002
241	0.1318521668
242	0.1314244551
243	0.1309875487
244	0.1304259235
245	0.1297341829
246	0.1294263949
247	0.1288056016
248	0.1285156553
249	0.1280771087
250	0.1277948988
251	0.1273526249
252	0.1267743418
253	0.126401627
254	0.1257118428
255	0.1252998327
256	0.1250060358
257	0.1244497057
258	0.1238844026
259	0.1231469755
260	0.1228301671
261	0.1223361909
262	0.1217602043
263	0.1213486299
264	0.1209600859
265	0.120615943
266	0.120132929
267	0.1195046831
268	0.1190389074
269	0.1185568991
270	0.1182496228
271	0.1178344928
272	0.1174847477
273	0.1170241393
274	0.1166393725
275	0.1161973378
276	0.1157117287
277	0.1153659718
278	0.1147393402
279	0.1141386606
280	0.1138136374
281	0.1132884659
282	0.1126168706
283	0.1122867988
284	0.1120195181
285	0.1115113593
286	0.1112326329
287	0.1110220859
288	0.1103740214
289	0.1098908705
290	0.1095562138
291	0.1092728738
292	0.1088595403
293	0.1084089684
294	0.1078133686
295	0.1073274553
296	0.1070668479
297	0.1067555976
298	0.10299	0.124299	0.10300	0.123300	0.10301	0.1233303975
302	0.1230536039
303	0.1225830812
304	0.1220423443
305	0.121712323
306	0.1213459373
307	0.1209799701
308	0.1206220942
309	0.1200753953
310	0.1198104194
311	0.1194754996
312	0.1190849545
313	0.1187279112
314	0.1183416903
315	0.1179385892
316	0.1174192391
317	0.1170918459
318	0.116717815
319	0.1163958212
320	0.1159979849
321	0.1155085917
322	0.1150939602
323	0.1146803254
324	0.1142833045
325	0.1141012941
326	0.1137618525
327	0.1134252273
328	0.1128224496
329	0.1125464318
330	0.1121408354
331	0.1118228025
332	0.1115368509
333	0.1111982857
334	0.1109318757
335	0.1106915488
336	0.110465109
337	0.1102457133
338	0.1099385368
339	0.1096700916
340	0.1095011799
341	0.109229064
342	0.1089346413
343	0.1085663127
344	0.1082248803
345	0.1079503192
346	0.1075834364
347	0.107229569
348	0.1069561748
349	0.1067749058
350	0.1066084678
351	0.1062042669
352	0.1058190387
353	0.105373744
354	0.1050696935
355	0.1046476395
356	0.1043931664
357	0.1040409874
358	0.1037337261
359	0.1034335379
360	0.1030306348
361	0.102790706
362	0.1023957977
363	0.1021011803
364	0.1019274005
365	0.1017418185
366	0.101516078
367	0.1011689238
368	0.1009424455
369	0.1005887104
370	0.1002613482
371	0.1001404493
372	0.09995284864
373	0.09968862177
374	0.09938499027
375	0.09925535058
376	0.09888310196
377	0.09860152649
378	0.09839347388
379	0.09816413201
380	0.09790033847
381	0.09766207894
382	0.09743107913
383	0.09730587635
384	0.09700096344
385	0.09687802285
386	0.09674826688
387	0.09645295717
388	0.09621877593
389	0.09606626842
390	0.09587355738
391	0.09567060828
392	0.09533827698
393	0.09506114051
394	0.09489257982
395	0.09472465431
396	0.09434928157
397	0.0939477241
398	0.0935752927
399	0.09316825225
400	0.09284326428
401	0.09261832487
402	0.09239344365
403	0.09208405026
404	0.09187658034
405	0.09158579088
406	0.09143267643
407	0.09115538718
408	0.09093339217
409	0.09062140474
410	0.09020536036
411	0.08984619762
412	0.08958707562
413	0.08937406015
414	0.08909028599
415	0.08890642009
416	0.0886443172
417	0.08839360736
418	0.08808395399
419	0.08791124747
420	0.08764243315
421	0.08727311363
422	0.08702884881
423	0.08665823119
424	0.08650494043
425	0.08633672239
426	0.08618239546
427	0.08588771424
428	0.08569931445
429	0.08550244371
430	0.0853219218
431	0.08503962568
432	0.0847766276
433	0.08441662747
434	0.08405874407
435	0.08390961867
436	0.08361277488
437	0.08319005896
438	0.08292155122
439	0.08264068862
440	0.08241042641
441	0.08213874439
442	0.08195879673
443	0.08170480018
444	0.08138772612
445	0.08124396376
446	0.08107054866
447	0.08080003962
448	0.08060776758
449	0.08034384153
450	0.08021928015
451	0.08004913106
452	0.07989718119
453	0.07975230435
454	0.07950880627
455	0.07926679867
456	0.07904773536
457	0.07888391608
458	0.07866187907
459	0.07844911722
460	0.07824774883
461	0.07802633219
462	0.07779845433
463	0.07759932829
464	0.07736644586
465	0.07723960111
466	0.07706448179
467	0.07683054843
468	0.07668780877
469	0.07654258108
470	0.0762327986
471	0.07611979606
472	0.07593398919
473	0.07570690094
474	0.07547353857
475	0.07528281397
476	0.07517126855
477	0.07500510319
478	0.0748457958
479	0.07469676436
480	0.07449416245
481	0.0742696634
482	0.07404648324
483	0.07377890252
484	0.07363712813
485	0.07338783215
486	0.07320026372
487	0.07300705639
488	0.07282253145
489	0.07265832153
490	0.07249570939
491	0.0722916934
492	0.07217266969
493	0.07201523172
494	0.07184217769
495	0.07172927667
496	0.07143398442
497	0.07117925624
498	0.07094583442
499	0.07079579441
500	0.07054037971
501	0.07040103866
502	0.07028403745
503	0.0700478636
504	0.06988412157
505	0.06979832022
506	0.06960543617
507	0.06949284986
508	0.06926653295
509	0.06905701984
510	0.06893190383
511	0.06873907257
512	0.06852651875
513	0.06831430002
514	0.06818052921
515	0.06804013777
516	0.06786166972
517	0.06764483246
518	0.06743028461
519	0.06725918759
520	0.06706340036
521	0.06684600012
522	0.0666727006
523	0.06650912308
524	0.06637601609
525	0.0662766869
526	0.06613180714
527	0.06599088716
528	0.06584430302
529	0.06567888006
530	0.06552478716
531	0.06540529978
532	0.06531673828
533	0.0651706708
534	0.06506586188
535	0.06491367743
536	0.06474619052
537	0.06457201991
538	0.06435148569
539	0.06424300795
540	0.06411638208
541	0.06399230705
542	0.06373836569
543	0.06365866171
544	0.06352643471
545	0.06337646482
546	0.06328557264
547	0.06314551096
548	0.06299941627
549	0.06284503261
550	0.06277682559
551	0.06258171131
552	0.06241786958
553	0.06232382188
554	0.0621384367
555	0.06198310962
556	0.06178300766
557	0.06163767303
558	0.06154624895
559	0.06134958203
560	0.06129869802
561	0.06120950024
562	0.06105905775
563	0.06088175401
564	0.06072771329
565	0.06047537467
566	0.06023757574
567	0.06008135558
568	0.05988408844
569	0.0597063712
570	0.05957039316
571	0.0593999961
572	0.05925883915
573	0.05916347926
574	0.05906583713
575	0.05894766536
576	0.05885716664
577	0.05870404802
578	0.0585799589
579	0.0584629418
580	0.05838664313
581	0.05827780687
582	0.05820403327
583	0.05805082758
584	0.05794316174
585	0.05783181012
586	0.05760350909
587	0.05749580398
588	0.05741861231
589	0.05723824897
590	0.05709143675
591	0.05686445315
592	0.05673856103
593	0.05667205979
594	0.05654216744
595	0.05640811914
596	0.05630106831
597	0.05621882655
598	0.05608321144
599	0.05602128322
600	0.05586831693
601	0.05575961977
602	0.05564856452
603	0.05551444686
604	0.05535802819
605	0.05520654425
606	0.05510334912
607	0.05500814462
608	0.05486525174
609	0.05477734696
610	0.05460445992
611	0.05445350372
612	0.05430961489
613	0.0541644456
614	0.05407153207
615	0.0539611043
616	0.05385027177
617	0.0537834073
618	0.05368156128
619	0.05353796008
620	0.05345622942
621	0.05333538163
622	0.05327509519
623	0.05315568261
624	0.05297922657
625	0.05278790331
626	0.05272716305
627	0.05261012577
628	0.05246536192
629	0.05232443964
630	0.05220352751
631	0.05207469792
632	0.05195319586
633	0.05182757546
634	0.05172681517
635	0.05161738829
636	0.05145635411
637	0.05130309533
638	0.05121343275
639	0.05109526051
640	0.05097713188
641	0.05089367838
642	0.05076674353
643	0.05069107165
644	0.05053432246
645	0.05041562011
646	0.05027658448
647	0.05015495686
648	0.05001135156
649	0.04988262313
650	0.04980473045
651	0.04965579097
652	0.04953067279
653	0.04942514799
654	0.04931831201
655	0.04922370272
656	0.04915469158
657	0.04906661752
658	0.04895257036
659	0.04886276622
660	0.04874663387
661	0.04864605626
662	0.04849415189
663	0.0483783563
664	0.04828996765
665	0.04815688284
666	0.04805697079
667	0.04798417462
668	0.04792986672
669	0.04784783364
670	0.04775882402
671	0.04765324662
672	0.04749032216
673	0.04737165161
674	0.0472916618
675	0.0472325067
676	0.0471290701
677	0.04703993794
678	0.04689197894
679	0.04677218774
680	0.0466554452
681	0.04654717322
682	0.04642553572
683	0.04634163576
684	0.04624013822
685	0.0461268719
686	0.04605758293
687	0.04590561708
688	0.04578809927
689	0.04566922045
690	0.04558195131
691	0.04548390644
692	0.04540888992
693	0.04529291054
694	0.04521429656
695	0.04508867876
696	0.04494852157
697	0.04484942838
698	0.04472029574
699	0.04459263886
700	0.04455291398
701	0.04446222504
702	0.04433597142
703	0.0442090652
704	0.04409329296
705	0.04401512402
706	0.04391429499
707	0.04381918844
708	0.0437580741
709	0.04365825538
710	0.04352354884
711	0.04342320266
712	0.04334474222
713	0.04322737348
714	0.04314699902
715	0.04307144876
716	0.04299657579
717	0.04292732876
718	0.04285680341
719	0.04273071563
720	0.04263901107
721	0.04253404415
722	0.04246277887
723	0.04234239859
724	0.04225380732
725	0.04215700841
726	0.04206196696
727	0.04197015781
728	0.04185960949
729	0.04169930901
730	0.0415773664
731	0.04150526819
732	0.04142542336
733	0.04130298205
734	0.0412346413
735	0.04115972494
736	0.04108339492
737	0.04099573239
738	0.04089667382
739	0.04083631263
740	0.04076784541
741	0.04068219838
742	0.04063019147
743	0.04053244842
744	0.04044170784
745	0.04038522901
746	0.04026698237
747	0.04018785296
748	0.04008281253
749	0.03998168721
750	0.03993435581
751	0.03981360474
752	0.03972698422
753	0.03968078614
754	0.03963951663
755	0.03955210385
756	0.03946643285
757	0.03935825168
758	0.03924238266
759	0.03916357273
760	0.03909762768
761	0.03900500122
762	0.0389470096
763	0.03883611736
764	0.03873413636
765	0.03864343377
766	0.03855796468
767	0.03845651066
768	0.03838036375
769	0.03824984747
770	0.03814395479
771	0.03806562568
772	0.03796382965
773	0.03787474752
774	0.03779794171
775	0.03767451525
776	0.03758763677
777	0.037495398
778	0.0374166855
779	0.03733148611
780	0.03722614846
781	0.03716107867
782	0.03708187869
783	0.03698819284
784	0.03689950107
785	0.03676062428
786	0.03665898405
787	0.03657464582
788	0.03646476447
789	0.03641183804
790	0.0363586342
791	0.03630321557
792	0.03621982784
793	0.03613260301
794	0.03606741505
795	0.03600942679
796	0.03594490367
797	0.03585362694
798	0.03576132862
799	0.03567731489
800	0.035627294
801	0.03554656392
802	0.03545985656
803	0.03538307945
804	0.03526577768
805	0.0352127286
806	0.03514235167
807	0.03509554614
808	0.03503062173
809	0.03496898773
810	0.03486845787
811	0.0347685411
812	0.03468723859
813	0.03462956698
814	0.03451201622
815	0.03443161394
816	0.03435965011
817	0.03431497283
818	0.03426510911
819	0.03417971211
820	0.03412378441
821	0.0340507885
822	0.03400209572
823	0.03388833142
824	0.03380821977
825	0.03375454996
826	0.03364180981
827	0.03357898836
828	0.03351219146
829	0.03341863889
830	0.03332770017
831	0.03323445392
832	0.03313457313
833	0.03305570692
834	0.03301569243
835	0.03293292575
836	0.03287352868
837	0.03280444018
838	0.03273533802
839	0.03268450117
840	0.03261724459
841	0.03255870661
842	0.03249673169
843	0.03244590662
844	0.03240881596
845	0.03233862548
846	0.03225566723
847	0.03216639595
848	0.03209068963
849	0.03203799518
850	0.03196760595
851	0.03192309261
852	0.03187330895
853	0.03179498785
854	0.03174083833
855	0.03165386029
856	0.0315875571
857	0.0315017553
858	0.03142246075
859	0.03135270106
860	0.03128538994
861	0.03124497271
862	0.03117085505
863	0.03111285641
864	0.03107159026
865	0.03102747135
866	0.03094442472
867	0.0308985243
868	0.03082810373
869	0.03078980114
870	0.03073392583
871	0.03067664729
872	0.030606924
873	0.03055310173
874	0.03049284445
875	0.03041677541
876	0.03037023724
877	0.03027946854
878	0.03021552481
879	0.03015905508
880	0.0300995373
881	0.03005576675
882	0.03000940544
883	0.0299314839
884	0.02988283206
885	0.02984055134
886	0.02977616411
887	0.02971887761
888	0.02966685651
889	0.02961275222
890	0.02954302344
891	0.02949354774
892	0.02944891591
893	0.02938877901
894	0.02932252646
895	0.02925104624
896	0.02920794842
897	0.02912188799
898	0.02909239497
899	0.02904357138
900	0.02898167512
901	0.02891540395
902	0.02885576238
903	0.02876932136
904	0.02871187904
905	0.02866200555
906	0.02861828589
907	0.02858530903
908	0.02852901589
909	0.02846999274
910	0.02840439737
911	0.02835847074
912	0.02831813244
913	0.02825012487
914	0.02819899876
915	0.02816141929
916	0.02813054441
917	0.0280593662
918	0.02799262694
919	0.02795627692
920	0.02790203035
921	0.02781681861
922	0.0277530041
923	0.02771420487
924	0.02767385602
925	0.02761681495
926	0.02755695965
927	0.02751815328
928	0.02746508211
929	0.02741383162
930	0.02734729668
931	0.02729620586
932	0.02723633069
933	0.02717135906
934	0.02711996799
935	0.02705149011
936	0.02699367372
937	0.02694241279
938	0.026874745
939	0.02683227795
940	0.02676323701
941	0.02670725585
942	0.02665609559
943	0.0265862565
944	0.02653931232
945	0.02649523352
946	0.02644370743
947	0.02637117943
948	0.02633813995
949	0.02629588941
950	0.02624584104
951	0.0262023487
952	0.02614564118
953	0.02609362468
954	0.02605501012
955	0.02600564378
956	0.0259569265
957	0.02590553178
958	0.02584326624
959	0.0257768103
960	0.02571812198
961	0.02565965123
962	0.0256204918
963	0.02557180942
964	0.02553178304
965	0.02548727965
966	0.02543808538
967	0.02539621799
968	0.02532468651
969	0.02527346872
970	0.02523588919
971	0.02517505261
972	0.02513565344
973	0.02507347392
974	0.02503391055
975	0.02496537834
976	0.02492705516
977	0.02488153681
978	0.02484796752
979	0.02480506876
980	0.0247757977	0.02162941029
978	0.02160133659
979	0.02155028379
980	0.02149460514
981	0.02147152976
982	0.02142906203
983	0.02136358495
984	0.02132171493
985	0.02126293738
986	0.0212191487
987	0.0211625039
988	0.02113384431
989	0.02110745577
990	0.02108417001
991	0.02101254984
992	0.02097013184
993	0.02093137914
994	0.02090357849
995	0.02086417889
996	0.02082924022
997	0.02079418892
998	0.02074924027
999	0.02071058952
